date,date_or_order,series,team_display,department_display,day_index,split_code,is_burn_in,p_alarm,risk_status,risk_flag,actual_alarm
2015-01-01,0,10__0,Team 10,Finishing,0,0,True,0.5466782014430591,High Risk,1,0
2015-01-03,1,10__0,Team 10,Finishing,1,0,True,0.5675905123347811,High Risk,1,0
2015-01-04,2,10__0,Team 10,Finishing,2,0,True,0.4149436395367467,High Risk,1,0
2015-01-05,3,10__0,Team 10,Finishing,3,0,True,0.5483181282836245,High Risk,1,0
2015-01-06,4,10__0,Team 10,Finishing,4,0,True,0.5589386094076944,High Risk,1,0
2015-01-07,5,10__0,Team 10,Finishing,5,0,True,0.5320109616237172,High Risk,1,0
2015-01-08,6,10__0,Team 10,Finishing,6,0,True,0.5212233800658939,High Risk,1,0
2015-01-10,7,10__0,Team 10,Finishing,7,0,True,0.557508492183174,High Risk,1,0
2015-01-11,8,10__0,Team 10,Finishing,8,0,False,0.534645001626448,High Risk,1,0
2015-01-12,9,10__0,Team 10,Finishing,9,0,False,0.5171471665451829,High Risk,1,1
2015-01-13,10,10__0,Team 10,Finishing,10,0,False,0.4057673173760063,High Risk,1,0
2015-01-14,11,10__0,Team 10,Finishing,11,0,False,0.5282449090329597,High Risk,1,1
2015-01-15,12,10__0,Team 10,Finishing,12,0,False,0.4288322489246826,High Risk,1,0
2015-01-17,13,10__0,Team 10,Finishing,13,0,False,0.5424955903710261,High Risk,1,0
2015-01-18,14,10__0,Team 10,Finishing,14,0,False,0.3954481904523086,Watch,0,1
2015-01-19,15,10__0,Team 10,Finishing,15,0,False,0.421378967767367,High Risk,1,1
2015-01-22,18,10__0,Team 10,Finishing,16,0,False,0.4072606475611912,High Risk,1,0
2015-01-24,19,10__0,Team 10,Finishing,17,0,False,0.4297354872605283,High Risk,1,0
2015-01-25,20,10__0,Team 10,Finishing,18,0,False,0.3072484139197158,Watch,0,0
2015-01-26,21,10__0,Team 10,Finishing,19,0,False,0.2740506388451411,Healthy,0,0
2015-01-27,22,10__0,Team 10,Finishing,20,0,False,0.3584797864508314,Watch,0,0
2015-01-28,23,10__0,Team 10,Finishing,21,0,False,0.3626322576980884,Watch,0,0
2015-01-29,24,10__0,Team 10,Finishing,22,0,False,0.2903783453600684,Healthy,0,0
2015-01-31,25,10__0,Team 10,Finishing,23,0,False,0.2880040945294735,Healthy,0,0
2015-02-01,26,10__0,Team 10,Finishing,24,0,False,0.2989630344590664,Healthy,0,0
2015-02-02,27,10__0,Team 10,Finishing,25,0,False,0.2942084844582492,Healthy,0,0
